lang,annotation,java.lang.annotation.ElementType,,
lang,annotation,java.lang.annotation.Inherited,,
lang,annotation,java.lang.annotation.Retention,,
lang,annotation,java.lang.annotation.RetentionPolicy,,
lang,annotation,java.lang.annotation.Target,,
lang,invoke,java.lang.invoke.VarHandle,,
io,handler,io.netty.handler.codec.DefaultHeaders,,
io,handler,io.netty.handler.codec.DefaultHeaders.NameValidator,,
util,util,java.util.StringJoiner,,
io,handler,io.netty.handler.codec.DefaultHeaders.ValueValidator,,
io,handler,io.netty.handler.codec.ValueConverter,,
io,handler,io.netty.handler.codec.http2.HttpToHttp2ConnectionHandlerBuilder,,
io,handler,io.netty.handler.codec.http2.InboundHttp2ToHttpAdapter,,
io,handler,io.netty.handler.codec.http.DefaultHttpRequest,,
io,handler,io.netty.handler.codec.http.DefaultLastHttpContent,,
io,handler,io.netty.handler.codec.http.EmptyHttpHeaders,,
io,handler,io.netty.handler.codec.string.StringDecoder,,
io,handler,io.netty.handler.codec.http2.InboundHttp2ToHttpAdapterBuilder,,
io,handler,io.netty.handler.codec.socksx.v4.Socks4ServerDecoder.State,,
io,handler,io.netty.handler.codec.http.HttpHeaderValues,,
mockito,Mockito,org.mockito.Mockito.isA,,
io,handler,io.netty.handler.codec.http.HttpHeaderNames.SET_COOKIE,,
io,handler,io.netty.handler.codec.http.HttpRequest,,
io,handler,io.netty.handler.codec.http.HttpRequestEncoder,,
jdk,jfr,jdk.jfr.Category,,
jdk,jfr,jdk.jfr.Description,,
jdk,jfr,jdk.jfr.Enabled,,
jdk,jfr,jdk.jfr.Event,,
jdk,jfr,jdk.jfr.DataAmount,,
io,util,io.netty.util.AsciiString.CASE_INSENSITIVE_HASHER,,
jdk,jfr,jdk.jfr.MemoryAddress,,
io,util,io.netty.util.AsciiString,,
io,util,io.netty.util.ByteProcessor,,
io,util,io.netty.util.CharsetUtil,,
io,util,io.netty.util.IllegalReferenceCountException,,
io,util,io.netty.util.ResourceLeakDetector,,
io,util,io.netty.util.ResourceLeakDetectorFactory,,
io,util,io.netty.util.internal.ObjectUtil,,
io,util,io.netty.util.internal.PlatformDependent,,
io,util,io.netty.util.internal.StringUtil,,
io,util,io.netty.util.internal.SystemPropertyUtil,,
io,util,io.netty.util.internal.logging.InternalLogger,,
io,util,io.netty.util.internal.logging.InternalLoggerFactory,,
io,io,java.io.IOException,,
io,io,java.io.InputStream,,
io,io,java.io.OutputStream,,
nio,nio,java.nio.ByteBuffer,,
nio,nio,java.nio.ByteOrder,,
nio,channels,java.nio.channels.FileChannel,,
nio,channels,java.nio.channels.GatheringByteChannel,,
nio,channels,java.nio.channels.ScatteringByteChannel,,
nio,charset,java.nio.charset.Charset,,
io,util,io.netty.util.internal.MathUtil.isOutOfBounds,,
io,util,io.netty.util.internal.ObjectUtil.checkPositiveOrZero,,
io,microbench,io.netty.microbench.channel.EmbeddedChannelWriteReleaseHandlerContext,,
io,util,io.netty.util.ResourceLeakTracker,,
io,util,io.netty.util.internal.MathUtil,,
io,util,io.netty.util.internal.StringUtil.COMMA,,
io,channel,io.netty.channel.DefaultAddressedEnvelope,,
io,example,io.netty.example.http2.Http2ExampleUtil.firstValue,,
io,example,io.netty.example.http2.Http2ExampleUtil.toInt,,
io,handler,io.netty.handler.codec.string.StringEncoder,,
io,handler,io.netty.handler.codec.DecoderResult,,
io,util,io.netty.util.Recycler.EnhancedHandle,,
io,util,io.netty.util.internal.ObjectPool.Handle,,
util,concurrent,java.util.concurrent.atomic.AtomicIntegerFieldUpdater,,
io,util,io.netty.util.internal.ReferenceCountUpdater,,
io,handler,io.netty.handler.codec.http.CookieUtil.firstInvalidCookieNameOctet,,
io,handler,io.netty.handler.codec.http.CookieUtil.firstInvalidCookieValueOctet,,
io,handler,io.netty.handler.codec.http.CookieUtil.unwrapValue,,
io,handler,io.netty.handler.codec.DateFormatter,,
io,handler,io.netty.handler.codec.http.cookie.CookieHeaderNames,,
io,handler,io.netty.handler.codec.http.HttpHeaderNames.CONTENT_DISPOSITION,,
io,handler,io.netty.handler.codec.http.HttpHeaderNames.CONTENT_TRANSFER_ENCODING,,
io,util,io.netty.util.internal.PlatformDependent.BIG_ENDIAN_NATIVE_ORDER,,
security,security,java.security.Policy,,
io,util,io.netty.util.NettyRuntime,,
io,util,io.netty.util.Recycler,,
io,util,io.netty.util.ReferenceCounted,,
io,util,io.netty.util.concurrent.FastThreadLocal,,
io,util,io.netty.util.concurrent.FastThreadLocalThread,,
io,util,io.netty.util.AsciiString.of,,
util,Arrays,java.util.Arrays.asList,,
io,util,io.netty.util.concurrent.MpscIntQueue,,
io,util,io.netty.util.internal.ObjectPool,,
