lang,annotation,java.lang.annotation.ElementType,Language,Standard Libraries
lang,annotation,java.lang.annotation.Inherited,Language,Standard Libraries
lang,annotation,java.lang.annotation.Retention,Language,Standard Libraries
lang,annotation,java.lang.annotation.RetentionPolicy,Language,Standard Libraries
lang,annotation,java.lang.annotation.Target,Language,Standard Libraries
lang,invoke,java.lang.invoke.VarHandle,Multi-Thread,Synchronization
io,handler,io.netty.handler.codec.DefaultHeaders,Network,Protocol Implementation
io,handler,io.netty.handler.codec.DefaultHeaders.NameValidator,Network,Protocol Implementation
util,util,java.util.StringJoiner,Utility,Data Conversion
io,handler,io.netty.handler.codec.DefaultHeaders.ValueValidator,Network,Data Transmission
io,handler,io.netty.handler.codec.ValueConverter,Input-Output,Network IO
io,handler,io.netty.handler.codec.http2.HttpToHttp2ConnectionHandlerBuilder,Network,Protocol Implementation
io,handler,io.netty.handler.codec.http2.InboundHttp2ToHttpAdapter,Network,Protocol Implementation
io,handler,io.netty.handler.codec.http.DefaultHttpRequest,Network,Protocol Implementation
io,handler,io.netty.handler.codec.http.DefaultLastHttpContent,Network,Protocol Implementation
io,handler,io.netty.handler.codec.http.EmptyHttpHeaders,Network,Protocol Implementation
io,handler,io.netty.handler.codec.string.StringDecoder,Network,Data Transmission
io,handler,io.netty.handler.codec.http2.InboundHttp2ToHttpAdapterBuilder,Network,Protocol Implementation
io,handler,io.netty.handler.codec.socksx.v4.Socks4ServerDecoder.State,Network,Protocol Implementation
io,handler,io.netty.handler.codec.http.HttpHeaderValues,Network,Protocol Implementation
mockito,Mockito,org.mockito.Mockito.isA,Test,Unit Testing
io,handler,io.netty.handler.codec.http.HttpHeaderNames.SET_COOKIE,Network,Protocol Implementation
io,handler,io.netty.handler.codec.http.HttpRequest,Network,Protocol Implementation
io,handler,io.netty.handler.codec.http.HttpRequestEncoder,Network,Protocol Implementation
jdk,jfr,jdk.jfr.Category,Logging,Event Logging
jdk,jfr,jdk.jfr.Description,Logging,Event Logging
jdk,jfr,jdk.jfr.Enabled,Logging,Event Logging
jdk,jfr,jdk.jfr.Event,Logging,Event Logging
jdk,jfr,jdk.jfr.DataAmount,Utility,Performance Tools
io,util,io.netty.util.AsciiString.CASE_INSENSITIVE_HASHER,Utility,Performance Tools
jdk,jfr,jdk.jfr.MemoryAddress,Utility,Performance Tools
io,util,io.netty.util.AsciiString,Utility,Data Conversion
io,util,io.netty.util.ByteProcessor,Input-Output,Network IO
io,util,io.netty.util.CharsetUtil,Internationalization,Language Support
io,util,io.netty.util.IllegalReferenceCountException,Error Handling,Exception Handling
io,util,io.netty.util.ResourceLeakDetector,Utility,Diagnostic Utilities
io,util,io.netty.util.ResourceLeakDetectorFactory,Utility,Diagnostic Utilities
io,util,io.netty.util.internal.ObjectUtil,Utility,System Tools
io,util,io.netty.util.internal.PlatformDependent,Utility,System Tools
io,util,io.netty.util.internal.StringUtil,Utility,Data Conversion
io,util,io.netty.util.internal.SystemPropertyUtil,Utility,System Tools
io,util,io.netty.util.internal.logging.InternalLogger,Logging,Error Logs
io,util,io.netty.util.internal.logging.InternalLoggerFactory,Logging,Event Logging
io,io,java.io.IOException,Input-Output,Network IO
io,io,java.io.InputStream,Input-Output,Data Reading
io,io,java.io.OutputStream,Input-Output,Data Writing
nio,nio,java.nio.ByteBuffer,Input-Output,Buffering Strategies
nio,nio,java.nio.ByteOrder,Input-Output,Data Reading
nio,channels,java.nio.channels.FileChannel,Input-Output,"Data Reading, Data Writing"
